prompt,generated_joke,Prompt Score,Funny Score,Grammar Score,lengthScore,totalScore
Make me laugh with a joke about a lightbulb.,1. Q: What does a lightbulb have in common with a dog? A: They both bark when you turn them on. 2. Q: What do you call a lightbulb with a broken filament? A: A darkbulb. 3. Q: What do you call,2,1,1,0,4
Give me a joke about being out of touch with modern culture.,​ **Q:** What's the difference between a hipster and a hippie? **A:** A hipster is a hippie that's out of touch with modern culture.</s>,1,0,1,0,2
Give me a joke about marriage.,​ Q: What's the difference between a wife and a girlfriend? A: You can trade your girlfriend for a better one.</s>,2,1,1,0,4
Can you come up with a joke about a stalker?,👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,0,0,0,1,1
Make me laugh with a joke about a chicken.," 🐓 A chicken walks into a bar, and the bartender says ""Hey, we have a drink named after you!"" The chicken says ""Really? What's it called?"" The bartender says ""Chicken.""</s>",2,0,1,0,3
Give me a joke about a spy agency.,1. A spy agency is a place where spies work. 2. A spy agency is a place where spies work. 3. A spy agency is a place where spies work. 4. A spy agency is a place where spies work.,2,0,0,0,2
Make me laugh with a joke about selfies.,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,1,1
Make me laugh with a joke about a terrorist organization.,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,0,0,0,1,1
Give me a joke about a historical figure.,​[Lincoln](https://www.jokes4us.com/jokes/history/lincoln.html),0,0,0,1,1
Give me a joke about a conversation.," 2 kids are in the playground when a kid says to the other, ""What's the longest word you know?"" The other kid says, ""Shoe.""</s>",2,0,1,0,3
Make me laugh with a joke about Harry Potter.," 🤣 Harry Potter is in a bar and sees a beautiful woman. He goes up to her and says ""You look familiar. Have we met before?"" She replies ""I don't think so. Why?"" Harry says ""Because I'm your father.""</s>",2,1,1,0,4
Give me a joke about online shopping.," ​I was trying to order a shirt online and I was like, ""Sorry, we don't ship to your country.""</s>",2,0,1,1,4
Give me a joke about body parts.,👉 Q: What's the difference between a pencil and a pen? A: A pencil is only used for writing while a pen is used for writing and drawing.</s>,0,0,1,0,1
Give me a joke about a woman's preferences.," ​""What's the difference between a woman's shoe and a man's shoe?"" ​""The shoe is still on the man's foot."" ",2,2,1,0,5
Make me laugh with a joke about office etiquette.,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,1,1
Give me a humorous joke about a birthday party.,​I had a birthday party for myself. It was a great success.,2,0,1,1,4
Make me laugh with a joke about a potato.,🥔 What do you call a potato with a mustache? A mashed potato!</s>,2,1,1,1,5
Tell me a joke about airport etiquette.,📌 Q: What do you call a man who knows how to get to the airport? A: A traveler. 📌 Q: What do you call a man who knows how to get to the airport? A: A traveler. 📌 Q:,1,0,1,0,2
Make me laugh with a joke about math.," 1 + 1 = 3 ### How was this one?
### Prompt: Make me laugh with a joke about math.
",1,0,1,1,3
Create a joke about a death investigation.," 1. ""It was a tough investigation. But I'm glad I got to the bottom of it."" 2. ""It was a tough investigation. But I'm glad I got to the bottom of it."" 3. ""It was a tough investigation. But I'm glad I",1,0,0,0,1
Give me a joke about a month.,​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,0,0,0,1,1
Give me a joke about a job performance review.,"  A man was having a performance review at work. His boss said, ""Your performance has been very good, but you have a problem. You're just not a team player. You don't get along with your co-workers. So, I'm going to give you a chance to improve",2,0,1,0,3
Give me a joke about the Pope.," ​The Pope was driving through the Vatican when he got pulled over by a policeman. The policeman asked the Pope for his license and registration. The Pope pulled out his hand and said ""Bless me father for I have sinned. It has been one month since my last confession."" The polic",2,2,1,0,5
Give me a joke about a bad comedian.," ​ A comedian walks into a bar and orders a drink. He looks around the bar and sees a few people laughing. He thinks to himself, ""I guess I'm not that bad.""</s>",2,2,1,0,5
Give me a joke about a medical condition.,​​Why does Dr. Jekyll always have a hard time getting a date? Because he's Mr. Hyde.</s>,2,1,1,1,5
Make me laugh with a joke about being single.," 1. What's the difference between being single and being married? Being single is being able to watch whatever you want on TV. Being married is being able to watch whatever you want on TV, as long as it's what your spouse wants to watch. 2. What's the difference between being",2,1,1,0,4
Make me laugh with a joke about a musician.,🎶 What's the difference between a musician and a fisherman? 🎶 A fisherman can get a gig.</s>,2,2,1,1,6
Can you come up with a joke about an octopus?,"  An octopus walks into a bar, and the bartender says, ""Hey, we have a drink named after you!"" The octopus says, ""What? You have a drink named Raymond?""</s>",2,1,1,0,4
Give me a joke about fashion advice.," 💁‍♂️ ""Always wear a hat that has a wide brim. It's the best way to keep your hair out of your face."" 💁‍♂️ ""Wear a hat that has a wide brim. It's the best way to keep your",1,0,0,0,1
Give me a joke about a funeral.," 2 people are at a funeral. One says, ""I can't believe that guy died, I was just talking to him last week."" The other says, ""I can't believe he died either. I was just talking to him last month.""</s>",2,0,1,0,3
Make me laugh with a music pun.," 🎶 I'm not a drummer, I'm a percussionist!</s>",1,0,1,1,3
Give me a joke about social media.,​​Social media is like a library. It's full of books that you've never read.</s>,2,0,1,1,4
Can you come up with a joke about a famous psychologist?," 😂 Q: What did the psychologist say when he saw his patient jump out the window? A: ""Don't jump!"" 😂 ### Did you find this joke funny?</s>",0,0,1,0,1
Make me laugh with a joke about dinosaurs.,🦖 What do you call a dinosaur with an IQ of 60? A dumb-saur.</s>,2,2,1,1,6
Give me a joke about toilet paper.,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,0,0,0,1,1
Give me a joke about a political event.,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩,0,0,0,1,1
Make me laugh with a joke about a cat.," 😂😂😂 A man and a woman were walking their cats, when the man's cat, who was named Oscar, decided to take a dump on the woman's cat, who was named Bella. The man asked the woman, ""What's your",2,0,1,0,3
Give me a joke about marriage.,👉🏻 Why did the bridegroom wear a tuxedo to his own wedding? 👈🏻</s>,2,0,1,1,4
Give me a joke about the water cycle.," ​ Q: What did the ocean say to the beach? A: Nothing, the ocean has no ears.</s>",1,1,1,1,4
Give me a joke about politics.,​ _Q: How many Democrats does it take to change a lightbulb? A: 50. One to change the lightbulb and 49 to write a bill about how the lightbulb should be changed.,2,2,1,0,5
Make me laugh with a joke about marriage.,👉🏻👈🏻👉🏻👈🏻👉🏻👈🏻👉🏻👈🏻,0,0,0,1,1
Give me a joke about a kitchen utensil.,‟What’s a cook’s favorite utensil?‟ - A whisk.</s>,2,0,1,1,4
Make me laugh with a joke about beer.,​​Why did the beer can cross the road? Because it was stoned.</s>,2,1,1,1,5
Create a joke about elements.,1. How do you make a volcano explode? 2. Why did the volcano get angry? 3. What did the volcano say to the mountain? 4. What did the volcano say to the mountain? 5. What did the volcano say to the mountain? 6,0,0,1,0,1
Make me laugh with a joke about a play on words.,📝📝📝📝📝📝📝📝📝📝📝📝📝📝📝📝,0,0,0,1,1
Make me laugh with a joke about the internet.,📷📷📷📷📷📷📷📷📷📷📷📷📷📷📷📷,0,0,0,1,1
Give me a joke about body parts.,​ ______ is the only part of your body that you can't take with you when you leave this earth.</s>,2,0,0,1,3
Make me laugh with a joke about a bad husband.,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,1,1
Give me a joke about a dentist's office.," ​ _A man goes to the dentist and asks if he can get a tooth pulled without anesthetic. The dentist asks if he has any special requests. The man says, ""I'd like to do it with the lights off."" The dentist says, ""You're out of",2,0,1,0,3
Give me a joke about a fast food worker.,🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗,0,0,0,1,1
Give me a joke about a vampire's social life.,👻 I'm a vampire and I'm not afraid to say it. I'm not afraid to say it because I'm not afraid to say it. I'm not afraid to say it because I'm not afraid to say it. I'm not afraid to say,2,0,0,0,2
Make me laugh with a joke about cows.,🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮🐮,0,0,0,1,1
Make me laugh with a joke about science.,👽💨👽 The first thing they teach you in science class is that the universe is 13.8 billion years old. 💨👽👽 The second thing they teach you is that the universe is 13.8,2,0,1,0,3
Give me a joke about a dating website.," 55-year-old single man: ""I'm 55 and single. I'm looking for a woman who is between 18 and 23 years old. I'm not interested in older women. I'm looking for someone who is between 18 and 23",2,1,1,0,4
Make me laugh with a joke about movie puns.,🎥📽🎬🎞🎟🎟🎟🎟🎟🎟🎟🎟🎟🎟🎟🎟,0,0,0,1,1
Give me a joke about a bad boyfriend.,"  A guy asks his girlfriend to marry him. She says yes. The next day he goes to his best friend and says, ""I can't believe I'm going to be married."" His friend says, ""Why not?"" The guy says, ""I'm so dumb, I forgot",1,0,1,0,2
Create a joke about royal etiquette.,*Q: What do you call a princess who's been kidnapped? A: A hostage.</s>,2,1,1,1,5
Make me laugh with a joke about turtles.,‣ What do you call a turtle in a car? A terrorturtle.</s>,2,0,1,1,4
Make me laugh with a joke about a historical figure.,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,1,1
Make me laugh with a joke about a chiropractor.,​What's the difference between a chiropractor and a lightbulb? ​A lightbulb only has one client.,2,0,1,1,4
Make me laugh with a joke about immigration.,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,0,1,1
Give me a joke about doing laundry.,😂 What do you call a man who doesn't do his laundry? A stinky pants. 😂</s>,2,1,1,1,5
Give me a joke about computer security.,1. What is the difference between a computer and a computer scientist? A computer will always give you the same answer to the same question.,1,1,1,0,3
Give me a joke about a search engine.," 2 search engines walk into a bar. The first search engine says ""Hey bartender, give me a beer."" The bartender says ""We don't serve your kind here."" The second search engine says ""Hey bartender, give me a beer."" The bartender says",1,0,0,0,1
Make me laugh with a joke about babysitting.,👶🏻 Babysitting is a great way to get paid for doing nothing. 👶🏻</s>,2,1,1,1,5
,,1.29,0.39,0.69,0.56,2.93
,,64.5,19.5,69,56,48.83333333
